IID	PC1	PC2	PC3	PC4
CTS_102	0.01643341893096645	-0.015240149938359593	0.040464529342204854	0.09167177099273237
CTS_103	0.027671646100346784	0.06538420485584275	-0.0023846655769399405	-0.03135692148618146
CTS_104	0.013956905621633544	-0.0395472033645671	0.12402621532297403	-0.06953118296493017
CTS_106	0.05381934855513303	-0.024059149107734327	-0.0005507405046648189	-0.12907983677927676
CTS_108	0.05054442388120768	0.002648310236028688	0.08878935024900371	-0.1011015225748762
CTS_109	0.06500884243865411	-0.025054956877692672	-0.00380198045913469	-0.11467714400883827
CTS_110	0.13356279472908655	0.09694389515442815	-0.0004555919452626449	0.03789826645154609
CTS_114	0.0641661347177194	0.028707831390657617	0.0446471631047005	0.021524302621153592
CTS_115	0.04301527583480053	0.02205383801259233	0.015298282151311113	0.007830421943956192
CTS_116	-0.05131454900838623	-0.059804849056309055	-0.0708918912318802	-0.012387211223971347
CTS_117	0.05019964472779738	-0.0754294248705414	0.05717241845393335	-0.022703514004587384
CTS_118	0.052067751353860235	0.13283722286934335	0.015716167766694374	0.07195719957480223
CTS_119	-0.011710623341279328	0.036682189464202375	-0.09346841839623661	0.13897898909635495
CTS_121	0.02403527532087138	-0.0032473391130885135	0.04850925420745523	0.05453285900876011
CTS_124	-0.09044684465938914	-0.04808706660228577	-0.028429597405108656	-0.21553514263474274
CTS_130	0.05369195131686874	-0.014601610925740645	0.0696984678115043	0.04681423402390195
CTS_131	-0.03818887169558836	-0.12260644561690652	0.05576924642697634	-0.12056920272007955
CTS_132	0.017352223553762244	0.09019453870748942	0.07619690836740667	-0.08600875515167483
CTS_133	-0.26294564459179665	0.23571961180311973	-0.057929312049572974	-0.12958202951777048
CTS_134	0.04514113596986013	0.11926603642613609	-0.052963683768146634	-0.022156000005160974
CTS_136	0.002377496054908224	-0.05298093599148541	0.061899832188845316	-0.0843098460026778
CTS_137	-0.024779868836459665	0.061864050000613964	0.02105494394508863	-0.008471311244997658
CTS_138	-0.06238154539821662	0.13428320073618896	0.17399538975755327	0.06852190995713933
CTS_140	0.10315584856641531	-0.0877214839663457	-0.0031975883047116304	0.07253661243455292
CTS_141	0.10005764770265393	0.09252374633029954	-0.06185219379226202	-0.12714824431354813
CTS_142	0.030182265337208594	0.034831405439517335	-0.21476264404137207	-0.011481156456884972
CTS_143	-0.08009911315336819	0.04656706254680237	0.16278959739708201	0.05660945193352208
CTS_144	0.0849595045641581	-0.002155369955260864	-0.0355765911738039	-0.01582468794473251
CTS_145	0.04588730402436719	-0.10570934195323549	-0.0400415107942846	-0.0073208380275498995
CTS_146	-0.03700134660456962	-0.018740108022556153	0.04413526991191	-0.07674378463222171
CTS_147	0.11144007243561897	0.09115340470153915	0.1409746316900388	-0.1471371098616408
CTS_148	-0.02082484820551865	0.001748587709802776	-0.11632026982370489	-0.04205816796506381
CTS_149	0.024463779334910105	-0.22412946331493516	0.13228851342109293	0.0005015469469349665
CTS_151	0.08656258465505548	-0.0955299708938637	-0.049832238898031754	-0.0046731970532667534
CTS_152	-0.05576279545487117	0.06508812204972737	-0.06538878649903908	0.14197103599828503
CTS_154	0.1544715823982305	-0.21462280274156917	-0.05458253544251827	-0.02691039189616769
CTS_155	-0.021912870344166488	-0.04777597903991066	-0.13113065234990776	-0.09089298269144007
CTS_157	0.0927672534265545	0.06957103840890722	0.014521906353706697	0.004583066372103531
CTS_158	0.021570526079004938	-0.01252496946017635	0.028637998440947963	0.0380653215049942
CTS_159	-0.4736254189778827	-0.36937339677605846	0.08110196115377305	0.2354787591773486
CTS_16	0.05175839424852639	-0.21271784909586394	0.020551542024636188	-0.028074065988105266
CTS_160	0.03129761393840819	-0.04311625569299542	-0.04904498727658317	0.05204134660702199
CTS_162	0.03943957088486752	-0.006014026469656583	0.02269556441989956	0.12861014618004826
CTS_164	0.054195631943005536	0.21116907637955618	-0.09634238914996968	0.0868143028393775
CTS_166	0.06897554648935128	-0.0017288097934663282	-0.043535855851594044	0.02100942066525122
CTS_167	0.045015169598190324	-0.03642536434204271	0.08199237192692928	-0.06591586151283696
CTS_168	0.02188158131233308	-0.04870600264181559	-0.20089383780105682	0.006421496579295384
CTS_169	-0.01508391463868022	0.040860708403793806	0.04449107008078751	0.06081631207380653
CTS_172	-0.026775007860205428	-0.014573054872183133	-0.02287498144631256	-0.0807805426466753
CTS_175	0.052037262894426714	-0.03232637541506414	-0.010767967904948076	0.02348212433351748
CTS_176	-0.007573983198068835	-0.06613771865583536	-0.08868103859739586	0.1141883280478207
CTS_177	-0.02826419961816454	-0.04968574593520053	0.03810635098350496	-0.01661230485510798
CTS_18	-0.2513671986371409	0.19203351318604814	0.030777233108743363	-0.2473541991365489
CTS_181	-0.0025987486529967575	0.03689111830547301	0.04278162910051924	0.09489447281736225
CTS_182	-0.07895792421122343	0.005090835799484982	0.13452356963038345	0.18681114525942322
CTS_186	0.005143916120378584	0.10051229561849849	0.009416445273051981	0.05081571895388951
CTS_187	0.014920456796256996	-0.028695028065023356	0.00984120979303018	0.10254654787639707
CTS_188	0.05809957014007159	-0.058411884236981244	0.09331055960579518	0.0009198568835263299
CTS_189	0.04793808553984157	0.15035163296247817	0.039523892172162664	0.026631176774769835
CTS_19	-0.0025392401081568965	-0.10846043542938394	-0.0615330056066051	-0.13466617752860163
CTS_190	-0.0018772199490246797	-0.08207082997028634	-0.024469050320107075	-0.0508528450079543
CTS_191	0.054316346421086466	-0.033572869531285854	-0.02109181850884015	0.08864591454180476
CTS_192	-0.06424465996677456	0.01001402780910125	0.002396884382308986	-0.05722368258094464
